timestamp_body,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,times_clock_body,5 x deep breath,5 x deep breath_notes
705867587,2.25,3.48,-8.88,-0.21,-3.78,0.07,2024-06-07 15:21:55.727131,0,
705867591,2.22,3.48,-8.83,-0.14,-3.99,0.0,2024-06-07 15:21:55.727131,0,
705867596,2.22,3.51,-8.74,-0.14,-4.13,0.0,2024-06-07 15:21:55.727131,0,
705867601,2.2,3.55,-8.72,-0.14,-4.34,0.0,2024-06-07 15:21:55.727131,0,
705867606,2.2,3.51,-8.68,-0.21,-3.99,0.14,2024-06-07 15:21:55.727131,0,
705867611,2.18,3.48,-8.79,-0.21,-3.22,0.35,2024-06-07 15:21:55.727131,0,
705867615,2.18,3.44,-8.84,0.0,-2.17,0.42,2024-06-07 15:21:55.727131,0,
705867620,2.2,3.42,-8.89,0.42,-1.47,0.49,2024-06-07 15:21:55.727131,0,
705867626,2.2,3.42,-8.86,0.35,-1.05,0.56,2024-06-07 15:21:55.757717,0,
705867630,2.18,3.44,-8.77,0.07,-0.91,0.84,2024-06-07 15:21:55.757717,0,
705867635,2.18,3.48,-8.82,0.14,-1.19,1.05,2024-06-07 15:21:55.757717,0,
705867640,2.19,3.5,-8.75,0.21,-1.4,1.12,2024-06-07 15:21:55.757717,0,
705867645,2.12,3.55,-8.71,-0.07,-1.4,1.33,2024-06-07 15:21:55.757717,0,
705867650,2.14,3.58,-8.73,-0.42,-1.75,1.05,2024-06-07 15:21:55.757717,0,
705867654,2.19,3.53,-8.72,-0.77,-1.68,1.05,2024-06-07 15:21:55.757717,0,
705867659,2.24,3.53,-8.69,-0.56,-1.4,0.98,2024-06-07 15:21:55.757717,0,
705867666,2.29,3.49,-8.65,0.21,-1.19,0.7,2024-06-07 15:21:55.802223,0,
705867670,2.25,3.52,-8.7,1.33,-1.05,0.49,2024-06-07 15:21:55.802223,0,
705867675,2.28,3.46,-8.84,2.03,-0.91,0.49,2024-06-07 15:21:55.802223,0,
705867680,2.33,3.41,-8.9,1.68,-0.98,0.21,2024-06-07 15:21:55.802223,0,
705867685,2.36,3.42,-8.88,0.77,-1.26,0.21,2024-06-07 15:21:55.802223,0,
705867690,2.39,3.43,-8.93,0.07,-1.89,-0.07,2024-06-07 15:21:55.802223,0,
705867694,2.36,3.41,-8.93,-0.21,-2.8,-0.14,2024-06-07 15:21:55.802223,0,
705867699,2.38,3.46,-8.95,-0.49,-3.71,0.0,2024-06-07 15:21:55.802223,0,
705867706,2.37,3.47,-8.94,-0.98,-4.62,-0.14,2024-06-07 15:21:55.831803,0,
705867710,2.27,3.54,-8.9,-1.47,-5.46,-0.35,2024-06-07 15:21:55.831803,0,
705867715,2.26,3.57,-8.81,-1.68,-6.16,-0.35,2024-06-07 15:21:55.831803,0,
705867720,2.23,3.56,-8.87,-1.82,-6.79,-0.28,2024-06-07 15:21:55.831803,0,
705867725,2.22,3.58,-8.78,-1.47,-7.35,-0.35,2024-06-07 15:21:55.831803,0,
705867730,2.2,3.57,-8.77,-1.12,-7.35,-0.42,2024-06-07 15:21:55.831803,0,
705867734,2.22,3.54,-8.73,-0.35,-6.86,-0.35,2024-06-07 15:21:55.831803,0,
705867739,2.18,3.55,-8.77,0.42,-6.16,-0.21,2024-06-07 15:21:55.831803,0,
705867745,2.18,3.54,-8.81,0.91,-4.97,-0.07,2024-06-07 15:21:55.876716,0,
705867749,2.16,3.5,-8.8,1.26,-3.85,-0.07,2024-06-07 15:21:55.876716,0,
705867754,2.19,3.48,-8.83,1.4,-2.8,-0.07,2024-06-07 15:21:55.876716,0,
705867759,2.25,3.51,-8.84,1.4,-1.75,0.07,2024-06-07 15:21:55.876716,0,
705867764,2.22,3.47,-8.86,1.26,-1.26,0.21,2024-06-07 15:21:55.876716,0,
705867769,2.27,3.52,-8.88,0.98,-1.19,0.28,2024-06-07 15:21:55.876716,0,
705867773,2.23,3.45,-8.88,0.63,-1.47,0.49,2024-06-07 15:21:55.876716,0,
705867778,2.26,3.46,-8.86,0.21,-1.89,0.56,2024-06-07 15:21:55.876716,0,
705867784,2.27,3.48,-8.85,-0.21,-2.45,0.56,2024-06-07 15:21:55.921979,0,
705867788,2.24,3.45,-8.79,-0.35,-2.94,0.7,2024-06-07 15:21:55.921979,0,
705867793,2.24,3.49,-8.82,-0.42,-3.57,0.7,2024-06-07 15:21:55.921979,0,
705867798,2.2,3.47,-8.81,-0.14,-3.92,0.63,2024-06-07 15:21:55.923028,0,
705867803,2.22,3.49,-8.78,0.07,-3.92,0.56,2024-06-07 15:21:55.923028,0,
705867808,2.22,3.45,-8.83,0.28,-3.64,0.49,2024-06-07 15:21:55.923028,0,
705867812,2.24,3.46,-8.84,0.35,-3.15,0.56,2024-06-07 15:21:55.923028,0,
705867817,2.22,3.46,-8.82,0.56,-2.73,0.42,2024-06-07 15:21:55.923028,0,
705867824,2.22,3.47,-8.81,0.56,-2.38,0.42,2024-06-07 15:21:55.951895,0,
705867828,2.18,3.48,-8.81,0.42,-2.38,0.42,2024-06-07 15:21:55.952942,0,
705867833,2.2,3.49,-8.86,0.21,-2.38,0.35,2024-06-07 15:21:55.952942,0,
705867838,2.22,3.47,-8.84,0.14,-2.52,0.21,2024-06-07 15:21:55.952942,0,
705867843,2.2,3.5,-8.84,-0.14,-2.87,0.28,2024-06-07 15:21:55.952942,0,
705867848,2.22,3.53,-8.86,-0.21,-3.29,0.21,2024-06-07 15:21:55.952942,0,
705867852,2.21,3.52,-8.83,-0.21,-3.92,0.14,2024-06-07 15:21:55.952942,0,
705867857,2.23,3.53,-8.84,-0.28,-4.41,0.07,2024-06-07 15:21:55.952942,0,
705867863,2.24,3.5,-8.83,-0.28,-4.55,0.14,2024-06-07 15:21:55.997699,0,
705867867,2.24,3.56,-8.82,-0.21,-4.76,0.0,2024-06-07 15:21:55.997699,0,
705867872,2.24,3.52,-8.88,-0.14,-4.83,0.0,2024-06-07 15:21:55.997699,0,
705867877,2.23,3.51,-8.83,0.0,-4.48,-0.07,2024-06-07 15:21:55.997699,0,
705867882,2.21,3.5,-8.83,0.14,-4.13,-0.14,2024-06-07 15:21:55.997699,0,
705867887,2.21,3.49,-8.79,0.14,-3.57,-0.07,2024-06-07 15:21:55.997699,0,
705867891,2.23,3.47,-8.77,0.21,-3.5,-0.07,2024-06-07 15:21:55.997699,0,
705867896,2.26,3.45,-8.79,0.21,-3.15,0.0,2024-06-07 15:21:55.997699,0,
705867902,2.27,3.44,-8.77,0.14,-2.94,0.14,2024-06-07 15:21:56.042892,0,
705867906,2.23,3.43,-8.75,0.21,-2.87,0.21,2024-06-07 15:21:56.042892,0,
705867911,2.24,3.46,-8.77,0.35,-2.73,0.21,2024-06-07 15:21:56.042892,0,
705867916,2.23,3.43,-8.83,0.35,-2.8,0.35,2024-06-07 15:21:56.042892,0,
705867921,2.28,3.45,-8.84,-0.07,-2.73,0.35,2024-06-07 15:21:56.042892,0,
705867926,2.24,3.46,-8.86,-0.42,-2.66,0.21,2024-06-07 15:21:56.042892,0,
705867930,2.26,3.48,-8.84,-0.63,-2.8,0.28,2024-06-07 15:21:56.042892,0,
705867935,2.22,3.49,-8.84,-0.77,-3.01,0.28,2024-06-07 15:21:56.042892,0,
705867942,2.26,3.5,-8.87,-0.91,-3.22,0.28,2024-06-07 15:21:56.072599,0,
705867946,2.25,3.52,-8.88,-0.91,-3.43,0.21,2024-06-07 15:21:56.072599,0,
705867951,2.29,3.51,-8.83,-0.84,-3.78,0.14,2024-06-07 15:21:56.072599,0,
705867956,2.25,3.56,-8.81,-0.77,-3.78,0.28,2024-06-07 15:21:56.072599,0,
705867961,2.24,3.53,-8.84,-0.77,-3.92,0.28,2024-06-07 15:21:56.072599,0,
705867966,2.24,3.51,-8.85,-0.84,-3.64,0.35,2024-06-07 15:21:56.072599,0,
705867970,2.24,3.5,-8.85,-0.56,-3.43,0.21,2024-06-07 15:21:56.072599,0,
705867975,2.26,3.51,-8.87,-0.28,-3.22,0.21,2024-06-07 15:21:56.072599,0,
705867981,2.27,3.51,-8.84,-0.14,-2.94,0.28,2024-06-07 15:21:56.116267,0,
705867985,2.28,3.51,-8.79,-0.21,-2.87,0.14,2024-06-07 15:21:56.116267,0,
705867990,2.29,3.5,-8.81,-0.14,-2.8,0.42,2024-06-07 15:21:56.117313,0,
705867995,2.2,3.52,-8.8,-0.14,-2.94,0.35,2024-06-07 15:21:56.117313,0,
705868000,2.25,3.51,-8.81,-0.28,-3.08,0.35,2024-06-07 15:21:56.117313,0,
705868005,2.23,3.53,-8.8,-0.35,-2.94,0.28,2024-06-07 15:21:56.117313,0,
705868009,2.26,3.52,-8.81,-0.49,-2.94,0.21,2024-06-07 15:21:56.117313,0,
705868014,2.28,3.53,-8.82,-0.35,-3.15,0.21,2024-06-07 15:21:56.117313,0,
705868020,2.23,3.52,-8.85,-0.35,-3.29,0.07,2024-06-07 15:21:56.146970,0,
705868024,2.26,3.52,-8.86,-0.28,-3.22,0.14,2024-06-07 15:21:56.146970,0,
705868029,2.29,3.52,-8.86,-0.35,-3.15,0.14,2024-06-07 15:21:56.146970,0,
705868034,2.27,3.54,-8.86,-0.35,-3.43,0.07,2024-06-07 15:21:56.146970,0,
705868039,2.3,3.57,-8.88,-0.28,-3.5,0.0,2024-06-07 15:21:56.146970,0,
