timestamp_neck,ax_neck,ay_neck,az_neck,gx_neck,gy_neck,gz_neck,times_clock_neck,5 x deep breath,5 x deep breath_notes
705806053,-3.25,-1.75,-8.97,1.89,-1.89,-1.61,2024-06-07 15:21:55.761887,0,
705806057,-3.24,-1.79,-8.91,1.89,-3.5,-1.75,2024-06-07 15:21:55.761887,0,
705806062,-3.36,-1.85,-8.87,1.54,-3.64,-2.03,2024-06-07 15:21:55.761887,0,
705806067,-3.4,-1.74,-8.79,1.75,-2.17,-2.38,2024-06-07 15:21:55.761887,0,
705806072,-3.32,-1.64,-8.78,2.1,-0.7,-2.38,2024-06-07 15:21:55.761887,0,
705806077,-3.23,-1.63,-8.73,2.59,-0.56,-2.45,2024-06-07 15:21:55.761887,0,
705806081,-3.26,-1.66,-8.74,2.73,-0.91,-2.24,2024-06-07 15:21:55.761887,0,
705806086,-3.27,-1.67,-8.85,3.57,-0.63,-2.52,2024-06-07 15:21:55.761887,0,
705806092,-3.28,-1.71,-8.97,4.27,0.21,-2.45,2024-06-07 15:21:55.762352,0,
705806096,-3.28,-1.72,-9.11,4.2,0.49,-2.31,2024-06-07 15:21:55.762352,0,
705806101,-3.24,-1.73,-9.15,3.85,-0.07,-2.17,2024-06-07 15:21:55.762352,0,
705806106,-3.2,-1.79,-9.09,2.87,-1.47,-2.52,2024-06-07 15:21:55.762352,0,
705806111,-3.33,-1.79,-9.06,1.33,-3.15,-2.59,2024-06-07 15:21:55.762352,0,
705806116,-3.36,-1.79,-9.09,0.14,-4.55,-2.66,2024-06-07 15:21:55.762352,0,
705806120,-3.5,-1.77,-9.09,-0.28,-5.18,-2.8,2024-06-07 15:21:55.762352,0,
705806125,-3.54,-1.73,-9.09,-0.28,-5.18,-2.38,2024-06-07 15:21:55.762352,0,
705806130,-3.49,-1.71,-9.05,0.07,-4.83,-2.03,2024-06-07 15:21:55.791456,0,
705806134,-3.51,-1.74,-8.94,0.49,-3.85,-1.68,2024-06-07 15:21:55.791456,0,
705806139,-3.49,-1.76,-8.87,0.7,-2.38,-1.26,2024-06-07 15:21:55.791456,0,
705806144,-3.36,-1.79,-8.83,0.91,-0.91,-0.91,2024-06-07 15:21:55.791456,0,
705806149,-3.36,-1.78,-8.73,0.98,0.49,-0.63,2024-06-07 15:21:55.791456,0,
705806154,-3.29,-1.73,-8.73,1.33,1.26,-0.56,2024-06-07 15:21:55.791456,0,
705806158,-3.24,-1.81,-8.77,1.89,1.4,-0.63,2024-06-07 15:21:55.791456,0,
705806163,-3.24,-1.77,-8.79,2.52,0.84,-0.77,2024-06-07 15:21:55.791456,0,
705806169,-3.2,-1.78,-8.85,3.5,-0.07,-0.98,2024-06-07 15:21:55.821514,0,
705806173,-3.22,-1.76,-8.85,4.62,-1.12,-1.26,2024-06-07 15:21:55.821514,0,
705806178,-3.25,-1.76,-8.89,5.11,-1.89,-1.54,2024-06-07 15:21:55.821514,0,
705806183,-3.29,-1.79,-8.96,5.04,-2.31,-1.82,2024-06-07 15:21:55.821514,0,
705806188,-3.27,-1.8,-9.02,4.48,-2.31,-2.03,2024-06-07 15:21:55.821514,0,
705806193,-3.33,-1.78,-8.99,3.57,-2.17,-2.1,2024-06-07 15:21:55.821514,0,
705806197,-3.29,-1.82,-8.96,2.31,-1.96,-2.31,2024-06-07 15:21:55.821514,0,
705806202,-3.28,-1.79,-8.97,1.26,-1.82,-2.31,2024-06-07 15:21:55.821514,0,
705806208,-3.32,-1.81,-8.94,0.35,-1.68,-2.38,2024-06-07 15:21:55.910912,0,
705806212,-3.31,-1.78,-8.92,-0.28,-1.68,-2.38,2024-06-07 15:21:55.910912,0,
705806217,-3.29,-1.71,-8.8,-0.56,-1.68,-2.45,2024-06-07 15:21:55.910912,0,
705806222,-3.26,-1.73,-8.88,-0.63,-1.68,-2.45,2024-06-07 15:21:55.911886,0,
705806227,-3.3,-1.69,-8.91,-0.14,-1.75,-2.59,2024-06-07 15:21:55.911886,0,
705806232,-3.34,-1.68,-8.94,0.49,-1.75,-2.45,2024-06-07 15:21:55.911886,0,
705806236,-3.33,-1.7,-8.94,0.98,-1.75,-2.31,2024-06-07 15:21:55.911886,0,
705806241,-3.33,-1.67,-8.99,1.54,-1.96,-2.31,2024-06-07 15:21:55.911886,0,
705806247,-3.38,-1.71,-8.98,1.89,-2.17,-2.38,2024-06-07 15:21:55.912451,0,
705806251,-3.34,-1.72,-9.05,1.96,-2.17,-2.38,2024-06-07 15:21:55.912451,0,
705806256,-3.38,-1.72,-9.04,1.75,-2.1,-2.17,2024-06-07 15:21:55.912451,0,
705806261,-3.4,-1.74,-9.0,1.61,-2.03,-2.1,2024-06-07 15:21:55.912451,0,
705806266,-3.4,-1.72,-8.99,1.26,-1.82,-1.82,2024-06-07 15:21:55.912451,0,
705806271,-3.37,-1.68,-9.01,0.91,-1.68,-1.68,2024-06-07 15:21:55.912451,0,
705806275,-3.36,-1.72,-8.96,0.42,-1.33,-1.4,2024-06-07 15:21:55.912451,0,
705806280,-3.34,-1.71,-8.97,0.0,-1.19,-1.19,2024-06-07 15:21:55.912451,0,
705806286,-3.29,-1.68,-8.93,-0.28,-1.26,-1.26,2024-06-07 15:21:55.941159,0,
705806290,-3.33,-1.73,-8.96,-0.63,-1.26,-1.05,2024-06-07 15:21:55.941159,0,
705806295,-3.3,-1.66,-8.94,-1.12,-1.19,-0.84,2024-06-07 15:21:55.941159,0,
705806300,-3.29,-1.71,-8.89,-1.05,-1.4,-1.12,2024-06-07 15:21:55.941159,0,
705806305,-3.33,-1.7,-8.87,-1.12,-1.61,-1.12,2024-06-07 15:21:55.941159,0,
705806310,-3.3,-1.75,-8.87,-1.05,-1.61,-1.12,2024-06-07 15:21:55.941159,0,
705806314,-3.3,-1.7,-8.91,-0.84,-1.61,-1.26,2024-06-07 15:21:55.941159,0,
705806319,-3.35,-1.77,-8.89,-0.49,-1.54,-1.26,2024-06-07 15:21:55.941159,0,
705806324,-3.33,-1.79,-8.96,-0.49,-1.12,-1.26,2024-06-07 15:21:56.031634,0,
705806328,-3.34,-1.79,-8.85,-0.63,-0.77,-1.4,2024-06-07 15:21:56.031634,0,
705806333,-3.35,-1.79,-8.89,-0.35,-0.49,-1.61,2024-06-07 15:21:56.031634,0,
705806338,-3.36,-1.78,-8.95,-0.07,-0.42,-1.68,2024-06-07 15:21:56.031634,0,
705806343,-3.36,-1.79,-8.95,0.14,-0.7,-1.89,2024-06-07 15:21:56.031634,0,
705806348,-3.37,-1.74,-8.97,0.35,-1.19,-1.96,2024-06-07 15:21:56.031634,0,
705806352,-3.38,-1.74,-8.96,0.42,-1.47,-2.03,2024-06-07 15:21:56.031634,0,
705806357,-3.39,-1.7,-8.96,0.56,-1.54,-1.96,2024-06-07 15:21:56.031634,0,
705806363,-3.36,-1.73,-9.01,0.49,-1.4,-2.03,2024-06-07 15:21:56.033771,0,
705806367,-3.34,-1.7,-8.98,0.7,-1.12,-2.1,2024-06-07 15:21:56.033771,0,
